Word,Count
0,1
Adventure,24
1995,10
29,4
771507571,1
177358047,1
1590901682,1
Toy Story,1
150148222,1
309615962.186208,1
1,16
1996,11
34,4
1290490033,1
291966054,1
2618935504,1
Independence Day,1
306169255,1
621343452.214582,1
2,16
1997,10
23,7
881902843,1
192135684,1
1723457085,1
Men in Black,1
250650052,1
489832424.743661,1
3,19
1998,10
1614467732,1
344236174,1
3087798481,1
Armageddon,1
201578182,1
385534372.626496,1
4,15
1999,12
27,3
1612432107,1
317407880,1
2847148684,1
Star Wars Ep. I: The Phantom Menace,1
430443350,1
760054461.932797,1
5,6
2000,13
30,10
1327311892,1
246254507,1
2208902928,1
How the Grinch Stole Christmas,1
253367455,1
421652300.851538,1
6,11
2001,13
32,3
2268870844,1
400844935,1
3595579067,1
Harry Potter and the Sorcerer’s Stone,1
300404434,1
476064072.743835,1
7,9
2002,12
45,3
2818919526,1
485184060,1
4352101018,1
Spider-Man,1
403706375,1
623278142.353961,1
8,7
2003,13
46,2
2424131447,1
402011823,1
3606046052,1
Finding Nemo,1
339714367,1
505346215.216204,1
9,10
2004,13
47,3
2887833719,1
465029564,1
4171315189,1
Shrek 2,1
441226247,1
637326773.279,1
10,4
2005,12
43,2
2541162317,1
396437158,1
3556041307,1
Star Wars Ep. III: Revenge of the Sith,1
380270577,1
532141481.322275,1
11,8
2006,13
44,4
2743705092,1
418886249,1
3757409654,1
Pirates of the Caribbean: Dead Man’s Chest,1
423315812,1
579716429.195463,1
12,3
2007,13
41,3
2914786658,1
411094655,1
3687519055,1
Spider-Man 3,1
336530303,1
425747078.775542,1
13,3
2008,13
57,3
3007666130,1
343645676,1
3082501714,1
Iron Man,1
318412101,1
326334707.599623,1
14,4
2009,13
49,5
2818706120,1
322117706,1
2889395823,1
Harry Potter and the Half-Blood Prince,1
301959197,1
309531964.449076,1
15,6
2010,15
3202949362,1
372676939,1
3342912143,1
Toy Story 3,1
415004880,1
433139802.088528,1
16,5
2011,13
51,5
2775702217,1
324520322,1
2910947288,1
Harry Potter and the Deathly Hallows: Part II,1
381011219,1
399575850.69927,1
17,2
2012,13
48,3
3284291528,1
412599414,1
3701016744,1
The Hobbit: An Unexpected Journey,1
263834893,1
297311413.533095,1
18,1
2013,13
40,2
2900376040,1
356747331,1
3200023559,1
The Hunger Games: Catching Fire,1
407139699,1
449202658.77116,1
19,4
2014,14
2734961640,1
334755123,1
3002753453,1
The Lego Movie,1
257784718,1
283025524.301369,1
20,3
2015,14
3063807262,1
355658524,1
3190256960,1
Star Wars Ep. VII: The Force Awakens,1
742208942,1
772841448.728747,1
21,1
2016,13
53,3
4159137913,1
478096752,1
4288527865,1
Finding Dory,1
486295561,1
501424119.035773,1
22,4
2017,13
2687890267,1
299653307,1
2687890164,1
Star Wars Ep. VIII: The Last Jedi,1
517218368,1
517218348.180183,1
2018,14
2973509668,1
331494935,1
2973509567,1
Incredibles 2,1
608581744,1
608581723.32855,1
24,3
Action,24
1049544278,1
241274531,1
2164232543,1
Batman Forever,1
184031112,1
379484820.091485,1
25,9
36,5
1222675745,1
276623456,1
2481312400,1
Twister,1
241688385,1
490485223.976103,1
26,5
1456612580,1
317344773,1
2846582614,1
The Lost World: Jurassic Park,1
229086679,1
447692246.03319,1
973161753,1
207497162,1
1861249543,1
Rush Hour,1
137567454,1
263108738.192646,1
28,4
910203960,1
179173997,1
1607190753,1
The Matrix,1
171479930,1
302790330.445373,1
31,9
1266568598,1
234982623,1
2107794128,1
Mission: Impossible 2,1
215409889,1
358480148.540152,1
1390622699,1
245693043,1
2203866596,1
Rush Hour 2,1
226164286,1
358426419.676607,1
1394290142,1
239981075,1
2152630243,1
Men in Black 2,1
190418803,1
293985636.00664,1
2109404900,1
349818376,1
3137870833,1
The Matrix Reloaded,1
281553689,1
418828603.572815,1
33,6
1068864943,1
172119948,1
1543915934,1
I,1
